Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Breakeven Oil Price,Breakeven Gas Price,Internal Rate Of Return,Payback Years,Fiscal Regime Group,Commerciality,[Data Values],Sum
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,16,0.2,26,6,PSC,Commercial,FID Breakeven Oil Price,19.4
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,16,0.2,26,6,PSC,Commercial,Breakeven Oil Price,16.04977
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,16,0.2,26,6,PSC,Commercial,Breakeven Oil Price-15,17.63715
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,16,0.2,26,6,PSC,Commercial,Breakeven Oil Price-20,18.87175
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,16,0.2,26,6,PSC,Commercial,FID Breakeven Gas Price,0.2
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,16,0.2,26,6,PSC,Commercial,Breakeven Gas Price,0.2
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,16,0.2,26,6,PSC,Commercial,Breakeven Gas Price-15,0
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,16,0.2,26,6,PSC,Commercial,Breakeven Gas Price-20,0
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,16,0.2,26,6,PSC,Commercial,Development cost pr boe,3.4849
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,16,0.2,26,6,PSC,Commercial,Economics Present Value,14145.16
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,,,20,6,PSC,Commercial,FID Breakeven Oil Price,38.8
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,,,20,6,PSC,Commercial,Breakeven Oil Price,
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,,,20,6,PSC,Commercial,Breakeven Oil Price-15,
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,,,20,6,PSC,Commercial,Breakeven Oil Price-20,
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,,,20,6,PSC,Commercial,FID Breakeven Gas Price,2.9
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,,,20,6,PSC,Commercial,Breakeven Gas Price,
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,,,20,6,PSC,Commercial,Breakeven Gas Price-15,
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,,,20,6,PSC,Commercial,Breakeven Gas Price-20,
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,,,20,6,PSC,Commercial,Development cost pr boe,8.417272
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,,,20,6,PSC,Commercial,Economics Present Value,20.6221
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,11.7,0.76,Above 40%,4,PSC,Commercial,FID Breakeven Oil Price,17.5
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,11.7,0.76,Above 40%,4,PSC,Commercial,Breakeven Oil Price,11.7
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,11.7,0.76,Above 40%,4,PSC,Commercial,Breakeven Oil Price-15,12.87729
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,11.7,0.76,Above 40%,4,PSC,Commercial,Breakeven Oil Price-20,13.77871
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,11.7,0.76,Above 40%,4,PSC,Commercial,FID Breakeven Gas Price,1
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,11.7,0.76,Above 40%,4,PSC,Commercial,Breakeven Gas Price,0.7599999
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,11.7,0.76,Above 40%,4,PSC,Commercial,Breakeven Gas Price-15,0.8365173
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,11.7,0.76,Above 40%,4,PSC,Commercial,Breakeven Gas Price-20,0.8950734
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,11.7,0.76,Above 40%,4,PSC,Commercial,Development cost pr boe,3.508498
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,11.7,0.76,Above 40%,4,PSC,Commercial,Economics Present Value,440.0645
Indonesia,BP,"Tangguh Unit, ID","Roabiba, ID",2023,2055-12-31,24.5,3.44,4,15,Royalty/Tax,Commercial,FID Breakeven Oil Price,92.19999
Indonesia,BP,"Tangguh Unit, ID","Roabiba, ID",2023,2055-12-31,24.5,3.44,4,15,Royalty/Tax,Commercial,Breakeven Oil Price,13.58378
Indonesia,BP,"Tangguh Unit, ID","Roabiba, ID",2023,2055-12-31,24.5,3.44,4,15,Royalty/Tax,Commercial,Breakeven Oil Price-15,14.90625
Indonesia,BP,"Tangguh Unit, ID","Roabiba, ID",2023,2055-12-31,24.5,3.44,4,15,Royalty/Tax,Commercial,Breakeven Oil Price-20,15.94968
Indonesia,BP,"Tangguh Unit, ID","Roabiba, ID",2023,2055-12-31,24.5,3.44,4,15,Royalty/Tax,Commercial,FID Breakeven Gas Price,13
Indonesia,BP,"Tangguh Unit, ID","Roabiba, ID",2023,2055-12-31,24.5,3.44,4,15,Royalty/Tax,Commercial,Breakeven Gas Price,1.910073
Indonesia,BP,"Tangguh Unit, ID","Roabiba, ID",2023,2055-12-31,24.5,3.44,4,15,Royalty/Tax,Commercial,Breakeven Gas Price-15,2.098513
Indonesia,BP,"Tangguh Unit, ID","Roabiba, ID",2023,2055-12-31,24.5,3.44,4,15,Royalty/Tax,Commercial,Breakeven Gas Price-20,2.245408
Indonesia,BP,"Tangguh Unit, ID","Roabiba, ID",2023,2055-12-31,24.5,3.44,4,15,Royalty/Tax,Commercial,Development cost pr boe,14.13089
Indonesia,BP,"Tangguh Unit, ID","Roabiba, ID",2023,2055-12-31,24.5,3.44,4,15,Royalty/Tax,Commercial,Economics Present Value,856.1639
Indonesia,BP,"Tangguh Unit, ID","Roabiba, ID",2023,2055-12-31,24.5,3.44,4,15,Royalty/Tax,Uncertain,FID Breakeven Oil Price,
Indonesia,BP,"Tangguh Unit, ID","Roabiba, ID",2023,2055-12-31,24.5,3.44,4,15,Royalty/Tax,Uncertain,Breakeven Oil Price,33.1
