Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,Commercial,Original Gas In Place,0
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,Commercial,Field recovery factor,28
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,Commercial,Technical recoverable resources,
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,Commercial,2P Reserves,
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,Commercial,Discovered Resources,
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,Commercial,Production,
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,Uncertain,Original Gas In Place,0
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,Uncertain,Field recovery factor,28
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,Uncertain,Technical recoverable resources,
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,Uncertain,2P Reserves,
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,Uncertain,Discovered Resources,
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,Uncertain,Production,
Indonesia,BP,"Agung II Block (EL), ID","Agung II Block (EL), ID",2052,,Commercial,Original Gas In Place,0
Indonesia,BP,"Agung II Block (EL), ID","Agung II Block (EL), ID",2052,,Commercial,Field recovery factor,
Indonesia,BP,"Agung II Block (EL), ID","Agung II Block (EL), ID",2052,,Commercial,Technical recoverable resources,62.9054
Indonesia,BP,"Agung II Block (EL), ID","Agung II Block (EL), ID",2052,,Commercial,2P Reserves,
Indonesia,BP,"Agung II Block (EL), ID","Agung II Block (EL), ID",2052,,Commercial,Discovered Resources,
Indonesia,BP,"Agung II Block (EL), ID","Agung II Block (EL), ID",2052,,Commercial,Production,
Indonesia,BP,"Agung II Block (EL), ID","Agung II Block (EL), ID",2052,,Uncertain,Original Gas In Place,0
Indonesia,BP,"Agung II Block (EL), ID","Agung II Block (EL), ID",2052,,Uncertain,Field recovery factor,
Indonesia,BP,"Agung II Block (EL), ID","Agung II Block (EL), ID",2052,,Uncertain,Technical recoverable resources,
