Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Breakeven Oil Price,Breakeven Gas Price,Internal Rate Of Return,Payback Years,Fiscal Regime Group,Commerciality,[Data Values],Sum
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,25.7,2.51,4,11,PSC,Commercial,FID Breakeven Oil Price,75.4
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,25.7,2.51,4,11,PSC,Commercial,Breakeven Oil Price,25.72647
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,25.7,2.51,4,11,PSC,Commercial,Breakeven Oil Price-15,28.29488
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,25.7,2.51,4,11,PSC,Commercial,Breakeven Oil Price-20,30.27552
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,25.7,2.51,4,11,PSC,Commercial,FID Breakeven Gas Price,7.3
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,25.7,2.51,4,11,PSC,Commercial,Breakeven Gas Price,2.505543
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,25.7,2.51,4,11,PSC,Commercial,Breakeven Gas Price-15,2.755795
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,25.7,2.51,4,11,PSC,Commercial,Breakeven Gas Price-20,2.9487
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,25.7,2.51,4,11,PSC,Commercial,Development cost pr boe,8.581683
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,25.7,2.51,4,11,PSC,Commercial,Economics Present Value,4120.704
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Commercial,FID Breakeven Oil Price,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Commercial,Breakeven Oil Price,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Commercial,Breakeven Oil Price-15,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Commercial,Breakeven Oil Price-20,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Commercial,FID Breakeven Gas Price,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Commercial,Breakeven Gas Price,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Commercial,Breakeven Gas Price-15,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Commercial,Breakeven Gas Price-20,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Commercial,Development cost pr boe,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Commercial,Economics Present Value,0
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Uncommercial,FID Breakeven Oil Price,35.4
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Uncommercial,Breakeven Oil Price,30.5
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Uncommercial,Breakeven Oil Price-15,33.57917
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Uncommercial,Breakeven Oil Price-20,37.51226
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Uncommercial,FID Breakeven Gas Price,4.1
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Uncommercial,Breakeven Gas Price,3.52
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Uncommercial,Breakeven Gas Price-15,3.876974
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Uncommercial,Breakeven Gas Price-20,4.331079
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Uncommercial,Development cost pr boe,8.907869
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Uncommercial,Economics Present Value,221.0958
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Uncommercial disregarded,FID Breakeven Oil Price,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Oil Price,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Oil Price-15,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Oil Price-20,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Uncommercial disregarded,FID Breakeven Gas Price,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Gas Price,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Gas Price-15,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Gas Price-20,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Development cost pr boe,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,30.5,3.52,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Economics Present Value,-221.0958
Malaysia,Chevron,"PM302 PSC, MY","Bergading Deep, MY",2022,2033-12-31,36.4,3.54,Below 0%,10,PSC,Commercial,FID Breakeven Oil Price,72.8
