Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,Commercial,Original Gas In Place,105.6579
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,Commercial,Field recovery factor,48
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,Commercial,Technical recoverable resources,237.5528
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,Commercial,2P Reserves,162.71
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,Commercial,Discovered Resources,
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,Commercial,Production,41.15123
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,Uncertain,Original Gas In Place,105.6579
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,Uncertain,Field recovery factor,48
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,Uncertain,Technical recoverable resources,
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,Uncertain,2P Reserves,
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,Uncertain,Discovered Resources,
Malaysia,Chevron,"PM302 PSC, MY","Bergading Shallow, MY",2017,2033-12-31,Uncertain,Production,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,Commercial,Original Gas In Place,3.327224
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,Commercial,Field recovery factor,50
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,Commercial,Technical recoverable resources,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,Commercial,2P Reserves,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,Commercial,Discovered Resources,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,Commercial,Production,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,Uncertain,Original Gas In Place,3.327224
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,Uncertain,Field recovery factor,50
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,Uncertain,Technical recoverable resources,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,Uncertain,2P Reserves,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,Uncertain,Discovered Resources,
Malaysia,Chevron,"PM302 PSC, MY","Gajah, MY",2033,2033-12-31,Uncertain,Production,
Malaysia,Chevron,"PM302 PSC, MY","Bergading Deep, MY",2022,2033-12-31,Commercial,Original Gas In Place,19.03962
Malaysia,Chevron,"PM302 PSC, MY","Bergading Deep, MY",2022,2033-12-31,Commercial,Field recovery factor,48
Malaysia,Chevron,"PM302 PSC, MY","Bergading Deep, MY",2022,2033-12-31,Commercial,Technical recoverable resources,19.2818
Malaysia,Chevron,"PM302 PSC, MY","Bergading Deep, MY",2022,2033-12-31,Commercial,2P Reserves,19.2782
Malaysia,Chevron,"PM302 PSC, MY","Bergading Deep, MY",2022,2033-12-31,Commercial,Discovered Resources,
Malaysia,Chevron,"PM302 PSC, MY","Bergading Deep, MY",2022,2033-12-31,Commercial,Production,7.424383
Malaysia,Chevron,"PM302 PSC, MY","Bergading Deep, MY",2022,2033-12-31,Uncertain,Original Gas In Place,19.03962
Malaysia,Chevron,"PM302 PSC, MY","Bergading Deep, MY",2022,2033-12-31,Uncertain,Field recovery factor,48
Malaysia,Chevron,"PM302 PSC, MY","Bergading Deep, MY",2022,2033-12-31,Uncertain,Technical recoverable resources,38.2318
Malaysia,Chevron,"PM302 PSC, MY","Bergading Deep, MY",2022,2033-12-31,Uncertain,2P Reserves,
Malaysia,Chevron,"PM302 PSC, MY","Bergading Deep, MY",2022,2033-12-31,Uncertain,Discovered Resources,
Malaysia,Chevron,"PM302 PSC, MY","Bergading Deep, MY",2022,2033-12-31,Uncertain,Production,
