Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Breakeven Oil Price,Breakeven Gas Price,Internal Rate Of Return,Payback Years,Fiscal Regime Group,Commerciality,[Data Values],Sum
Philippines,Other liquids,,"Other liquids, PH",2005,,,,,,PSC,Commercial,FID Breakeven Oil Price,0
Philippines,Other liquids,,"Other liquids, PH",2005,,,,,,PSC,Commercial,Breakeven Oil Price,
Philippines,Other liquids,,"Other liquids, PH",2005,,,,,,PSC,Commercial,Breakeven Oil Price-15,
Philippines,Other liquids,,"Other liquids, PH",2005,,,,,,PSC,Commercial,Breakeven Oil Price-20,
Philippines,Other liquids,,"Other liquids, PH",2005,,,,,,PSC,Commercial,FID Breakeven Gas Price,0
Philippines,Other liquids,,"Other liquids, PH",2005,,,,,,PSC,Commercial,Breakeven Gas Price,
Philippines,Other liquids,,"Other liquids, PH",2005,,,,,,PSC,Commercial,Breakeven Gas Price-15,
Philippines,Other liquids,,"Other liquids, PH",2005,,,,,,PSC,Commercial,Breakeven Gas Price-20,
Philippines,Other liquids,,"Other liquids, PH",2005,,,,,,PSC,Commercial,Development cost pr boe,
Philippines,Other liquids,,"Other liquids, PH",2005,,,,,,PSC,Commercial,Economics Present Value,
Philippines,Ratio Energies,"SC 76, PH","East Palawan, PH",2033,,188.7,24.19,Below 0%,Above 30 years,PSC,Commercial,FID Breakeven Oil Price,209
Philippines,Ratio Energies,"SC 76, PH","East Palawan, PH",2033,,188.7,24.19,Below 0%,Above 30 years,PSC,Commercial,Breakeven Oil Price,188.7
Philippines,Ratio Energies,"SC 76, PH","East Palawan, PH",2033,,188.7,24.19,Below 0%,Above 30 years,PSC,Commercial,Breakeven Oil Price-15,225.7113
Philippines,Ratio Energies,"SC 76, PH","East Palawan, PH",2033,,188.7,24.19,Below 0%,Above 30 years,PSC,Commercial,Breakeven Oil Price-20,241.5111
Philippines,Ratio Energies,"SC 76, PH","East Palawan, PH",2033,,188.7,24.19,Below 0%,Above 30 years,PSC,Commercial,FID Breakeven Gas Price,26.8
Philippines,Ratio Energies,"SC 76, PH","East Palawan, PH",2033,,188.7,24.19,Below 0%,Above 30 years,PSC,Commercial,Breakeven Gas Price,24.19
