Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Philippines,Other liquids,,"Other liquids, PH",2005,,Commercial,Original Gas In Place,0
Philippines,Other liquids,,"Other liquids, PH",2005,,Commercial,Field recovery factor,
Philippines,Other liquids,,"Other liquids, PH",2005,,Commercial,Technical recoverable resources,
Philippines,Other liquids,,"Other liquids, PH",2005,,Commercial,2P Reserves,
Philippines,Other liquids,,"Other liquids, PH",2005,,Commercial,Discovered Resources,
Philippines,Other liquids,,"Other liquids, PH",2005,,Commercial,Production,9.699178
Philippines,Other liquids,,"Other liquids, PH",2005,,Uncertain,Original Gas In Place,0
Philippines,Other liquids,,"Other liquids, PH",2005,,Uncertain,Field recovery factor,
Philippines,Other liquids,,"Other liquids, PH",2005,,Uncertain,Technical recoverable resources,
Philippines,Other liquids,,"Other liquids, PH",2005,,Uncertain,2P Reserves,
Philippines,Other liquids,,"Other liquids, PH",2005,,Uncertain,Discovered Resources,
Philippines,Other liquids,,"Other liquids, PH",2005,,Uncertain,Production,
Philippines,Ratio Energies,"SC 76, PH","East Palawan, PH",2033,,Commercial,Original Gas In Place,0
Philippines,Ratio Energies,"SC 76, PH","East Palawan, PH",2033,,Commercial,Field recovery factor,
Philippines,Ratio Energies,"SC 76, PH","East Palawan, PH",2033,,Commercial,Technical recoverable resources,1.5767
Philippines,Ratio Energies,"SC 76, PH","East Palawan, PH",2033,,Commercial,2P Reserves,
Philippines,Ratio Energies,"SC 76, PH","East Palawan, PH",2033,,Commercial,Discovered Resources,
Philippines,Ratio Energies,"SC 76, PH","East Palawan, PH",2033,,Commercial,Production,
Philippines,Ratio Energies,"SC 76, PH","East Palawan, PH",2033,,Uncertain,Original Gas In Place,0
Philippines,Ratio Energies,"SC 76, PH","East Palawan, PH",2033,,Uncertain,Field recovery factor,
Philippines,Ratio Energies,"SC 76, PH","East Palawan, PH",2033,,Uncertain,Technical recoverable resources,
Philippines,Ratio Energies,"SC 76, PH","East Palawan, PH",2033,,Uncertain,2P Reserves,
Philippines,Ratio Energies,"SC 76, PH","East Palawan, PH",2033,,Uncertain,Discovered Resources,
Philippines,Ratio Energies,"SC 76, PH","East Palawan, PH",2033,,Uncertain,Production,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,Commercial,Original Gas In Place,13.16748
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,Commercial,Field recovery factor,50
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,Commercial,Technical recoverable resources,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,Commercial,2P Reserves,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,Commercial,Discovered Resources,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,Commercial,Production,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,Uncertain,Original Gas In Place,13.16748
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,Uncertain,Field recovery factor,50
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,Uncertain,Technical recoverable resources,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,Uncertain,2P Reserves,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,Uncertain,Discovered Resources,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,Uncertain,Production,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,Commercial,Original Gas In Place,122.5155
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,Commercial,Field recovery factor,44
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,Commercial,Technical recoverable resources,25.8812
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,Commercial,2P Reserves,25.9083
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,Commercial,Discovered Resources,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,Commercial,Production,12.38274
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,Uncertain,Original Gas In Place,122.5155
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,Uncertain,Field recovery factor,44
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,Uncertain,Technical recoverable resources,
