Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Breakeven Oil Price,Breakeven Gas Price,Internal Rate Of Return,Payback Years,Fiscal Regime Group,Commerciality,[Data Values],Sum
Malaysia/Thailand JDA,Hess,"Tax, TA","Tax_Hess, TA",2005,2029-04-20,,,11,9,PSC,Commercial,FID Breakeven Oil Price,
Malaysia/Thailand JDA,Hess,"Tax, TA","Tax_Hess, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Oil Price,
Malaysia/Thailand JDA,Hess,"Tax, TA","Tax_Hess, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Oil Price-15,
Malaysia/Thailand JDA,Hess,"Tax, TA","Tax_Hess, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Oil Price-20,
Malaysia/Thailand JDA,Hess,"Tax, TA","Tax_Hess, TA",2005,2029-04-20,,,11,9,PSC,Commercial,FID Breakeven Gas Price,
Malaysia/Thailand JDA,Hess,"Tax, TA","Tax_Hess, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Gas Price,
Malaysia/Thailand JDA,Hess,"Tax, TA","Tax_Hess, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Gas Price-15,
Malaysia/Thailand JDA,Hess,"Tax, TA","Tax_Hess, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Gas Price-20,
Malaysia/Thailand JDA,Hess,"Tax, TA","Tax_Hess, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Development cost pr boe,
Malaysia/Thailand JDA,Hess,"Tax, TA","Tax_Hess, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Economics Present Value,0
Malaysia/Thailand JDA,Chevron,"Tax, TA","Tax_Chevron, TA",2005,2029-04-20,,,11,9,PSC,Commercial,FID Breakeven Oil Price,
Malaysia/Thailand JDA,Chevron,"Tax, TA","Tax_Chevron, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Oil Price,
Malaysia/Thailand JDA,Chevron,"Tax, TA","Tax_Chevron, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Oil Price-15,
Malaysia/Thailand JDA,Chevron,"Tax, TA","Tax_Chevron, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Oil Price-20,
Malaysia/Thailand JDA,Chevron,"Tax, TA","Tax_Chevron, TA",2005,2029-04-20,,,11,9,PSC,Commercial,FID Breakeven Gas Price,
Malaysia/Thailand JDA,Chevron,"Tax, TA","Tax_Chevron, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Gas Price,
Malaysia/Thailand JDA,Chevron,"Tax, TA","Tax_Chevron, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Gas Price-15,
Malaysia/Thailand JDA,Chevron,"Tax, TA","Tax_Chevron, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Gas Price-20,
Malaysia/Thailand JDA,Chevron,"Tax, TA","Tax_Chevron, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Development cost pr boe,
Malaysia/Thailand JDA,Chevron,"Tax, TA","Tax_Chevron, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Economics Present Value,0
Malaysia/Thailand JDA,Petronas,"Tax, TA","Tax_Petronas, TA",2005,2029-04-20,,,11,9,PSC,Commercial,FID Breakeven Oil Price,
Malaysia/Thailand JDA,Petronas,"Tax, TA","Tax_Petronas, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Oil Price,
Malaysia/Thailand JDA,Petronas,"Tax, TA","Tax_Petronas, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Oil Price-15,
Malaysia/Thailand JDA,Petronas,"Tax, TA","Tax_Petronas, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Oil Price-20,
Malaysia/Thailand JDA,Petronas,"Tax, TA","Tax_Petronas, TA",2005,2029-04-20,,,11,9,PSC,Commercial,FID Breakeven Gas Price,
Malaysia/Thailand JDA,Petronas,"Tax, TA","Tax_Petronas, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Gas Price,
Malaysia/Thailand JDA,Petronas,"Tax, TA","Tax_Petronas, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Gas Price-15,
Malaysia/Thailand JDA,Petronas,"Tax, TA","Tax_Petronas, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Gas Price-20,
Malaysia/Thailand JDA,Petronas,"Tax, TA","Tax_Petronas, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Development cost pr boe,
Malaysia/Thailand JDA,Petronas,"Tax, TA","Tax_Petronas, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Economics Present Value,0
Malaysia/Thailand JDA,PTTEP,"Tax, TA","Tax_PTTEP, TA",2005,2029-04-20,,,11,9,PSC,Commercial,FID Breakeven Oil Price,
Malaysia/Thailand JDA,PTTEP,"Tax, TA","Tax_PTTEP, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Oil Price,
Malaysia/Thailand JDA,PTTEP,"Tax, TA","Tax_PTTEP, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Oil Price-15,
Malaysia/Thailand JDA,PTTEP,"Tax, TA","Tax_PTTEP, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Oil Price-20,
Malaysia/Thailand JDA,PTTEP,"Tax, TA","Tax_PTTEP, TA",2005,2029-04-20,,,11,9,PSC,Commercial,FID Breakeven Gas Price,
Malaysia/Thailand JDA,PTTEP,"Tax, TA","Tax_PTTEP, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Gas Price,
Malaysia/Thailand JDA,PTTEP,"Tax, TA","Tax_PTTEP, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Gas Price-15,
Malaysia/Thailand JDA,PTTEP,"Tax, TA","Tax_PTTEP, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Breakeven Gas Price-20,
Malaysia/Thailand JDA,PTTEP,"Tax, TA","Tax_PTTEP, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Development cost pr boe,
Malaysia/Thailand JDA,PTTEP,"Tax, TA","Tax_PTTEP, TA",2005,2029-04-20,,,11,9,PSC,Commercial,Economics Present Value,0
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,55.1,5.3,11,9,PSC,Commercial,FID Breakeven Oil Price,44.8
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,55.1,5.3,11,9,PSC,Commercial,Breakeven Oil Price,55.07181
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,55.1,5.3,11,9,PSC,Commercial,Breakeven Oil Price-15,60.5383
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,55.1,5.3,11,9,PSC,Commercial,Breakeven Oil Price-20,64.77598
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,55.1,5.3,11,9,PSC,Commercial,FID Breakeven Gas Price,3.8
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,55.1,5.3,11,9,PSC,Commercial,Breakeven Gas Price,5.301826
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,55.1,5.3,11,9,PSC,Commercial,Breakeven Gas Price-15,5.829823
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,55.1,5.3,11,9,PSC,Commercial,Breakeven Gas Price-20,6.237909
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,55.1,5.3,11,9,PSC,Commercial,Development cost pr boe,2.3767
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,55.1,5.3,11,9,PSC,Commercial,Economics Present Value,1540.988
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Suriya, TA",2009,2029-04-20,36.5,3.54,25,7,PSC,Commercial,FID Breakeven Oil Price,26.7
