Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,Commercial,Original Gas In Place,107.6197
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,Commercial,Field recovery factor,48
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,Commercial,Technical recoverable resources,54.6244
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,Commercial,2P Reserves,51.37059
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,Commercial,Discovered Resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,Commercial,Production,23.91946
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,Uncertain,Original Gas In Place,107.6197
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,Uncertain,Field recovery factor,48
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,Uncertain,Technical recoverable resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,Uncertain,2P Reserves,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,Uncertain,Discovered Resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Cakerawala, TA",2005,2029-04-20,Uncertain,Production,
