Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Breakeven Oil Price,Breakeven Gas Price,Internal Rate Of Return,Payback Years,Fiscal Regime Group,Commerciality,[Data Values],Sum
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,172,8.17,Below 0%,Above 30 years,PSC,Commercial,FID Breakeven Oil Price,250
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,172,8.17,Below 0%,Above 30 years,PSC,Commercial,Breakeven Oil Price,172
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,172,8.17,Below 0%,Above 30 years,PSC,Commercial,Breakeven Oil Price-15,189.2272
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,172,8.17,Below 0%,Above 30 years,PSC,Commercial,Breakeven Oil Price-20,202.4731
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,172,8.17,Below 0%,Above 30 years,PSC,Commercial,FID Breakeven Gas Price,11.9
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,172,8.17,Below 0%,Above 30 years,PSC,Commercial,Breakeven Gas Price,8.17
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,172,8.17,Below 0%,Above 30 years,PSC,Commercial,Breakeven Gas Price-15,8.98185
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,172,8.17,Below 0%,Above 30 years,PSC,Commercial,Breakeven Gas Price-20,9.610579
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,172,8.17,Below 0%,Above 30 years,PSC,Commercial,Development cost pr boe,129.3404
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,172,8.17,Below 0%,Above 30 years,PSC,Commercial,Economics Present Value,1.3832
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,172,8.17,Below 0%,Above 30 years,PSC,Uncommercial disregarded,FID Breakeven Oil Price,
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,172,8.17,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Oil Price,
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,172,8.17,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Oil Price-15,
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,172,8.17,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Oil Price-20,
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,172,8.17,Below 0%,Above 30 years,PSC,Uncommercial disregarded,FID Breakeven Gas Price,
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,172,8.17,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Gas Price,
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,172,8.17,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Gas Price-15,
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,172,8.17,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Gas Price-20,
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,172,8.17,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Development cost pr boe,
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,172,8.17,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Economics Present Value,0
Vietnam,ExxonMobil,"Block 118, VN","Ca Voi Xanh (Blue Whale), VN",2038,,50,6.41,14,9,PSC,Commercial,FID Breakeven Oil Price,
Vietnam,ExxonMobil,"Block 118, VN","Ca Voi Xanh (Blue Whale), VN",2038,,50,6.41,14,9,PSC,Commercial,Breakeven Oil Price,
Vietnam,ExxonMobil,"Block 118, VN","Ca Voi Xanh (Blue Whale), VN",2038,,50,6.41,14,9,PSC,Commercial,Breakeven Oil Price-15,
Vietnam,ExxonMobil,"Block 118, VN","Ca Voi Xanh (Blue Whale), VN",2038,,50,6.41,14,9,PSC,Commercial,Breakeven Oil Price-20,
Vietnam,ExxonMobil,"Block 118, VN","Ca Voi Xanh (Blue Whale), VN",2038,,50,6.41,14,9,PSC,Commercial,FID Breakeven Gas Price,
Vietnam,ExxonMobil,"Block 118, VN","Ca Voi Xanh (Blue Whale), VN",2038,,50,6.41,14,9,PSC,Commercial,Breakeven Gas Price,
Vietnam,ExxonMobil,"Block 118, VN","Ca Voi Xanh (Blue Whale), VN",2038,,50,6.41,14,9,PSC,Commercial,Breakeven Gas Price-15,
Vietnam,ExxonMobil,"Block 118, VN","Ca Voi Xanh (Blue Whale), VN",2038,,50,6.41,14,9,PSC,Commercial,Breakeven Gas Price-20,
