Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,Commercial,Original Gas In Place,0
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,Commercial,Field recovery factor,
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,Commercial,Technical recoverable resources,0.1779
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,Commercial,2P Reserves,
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,Commercial,Discovered Resources,
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,Commercial,Production,
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,Uncertain,Original Gas In Place,0
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,Uncertain,Field recovery factor,
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,Uncertain,Technical recoverable resources,
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,Uncertain,2P Reserves,
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,Uncertain,Discovered Resources,
Vietnam,ExxonMobil,"Block 119, VN","Block 119, VN",2045,,Uncertain,Production,
Vietnam,ExxonMobil,"Block 118, VN","Ca Voi Xanh (Blue Whale), VN",2038,,Commercial,Original Gas In Place,159.2569
Vietnam,ExxonMobil,"Block 118, VN","Ca Voi Xanh (Blue Whale), VN",2038,,Commercial,Field recovery factor,49
Vietnam,ExxonMobil,"Block 118, VN","Ca Voi Xanh (Blue Whale), VN",2038,,Commercial,Technical recoverable resources,512.858
Vietnam,ExxonMobil,"Block 118, VN","Ca Voi Xanh (Blue Whale), VN",2038,,Commercial,2P Reserves,
Vietnam,ExxonMobil,"Block 118, VN","Ca Voi Xanh (Blue Whale), VN",2038,,Commercial,Discovered Resources,
Vietnam,ExxonMobil,"Block 118, VN","Ca Voi Xanh (Blue Whale), VN",2038,,Commercial,Production,
Vietnam,ExxonMobil,"Block 118, VN","Ca Voi Xanh (Blue Whale), VN",2038,,Uncertain,Original Gas In Place,159.2569
Vietnam,ExxonMobil,"Block 118, VN","Ca Voi Xanh (Blue Whale), VN",2038,,Uncertain,Field recovery factor,49
Vietnam,ExxonMobil,"Block 118, VN","Ca Voi Xanh (Blue Whale), VN",2038,,Uncertain,Technical recoverable resources,
Vietnam,ExxonMobil,"Block 118, VN","Ca Voi Xanh (Blue Whale), VN",2038,,Uncertain,2P Reserves,
Vietnam,ExxonMobil,"Block 118, VN","Ca Voi Xanh (Blue Whale), VN",2038,,Uncertain,Discovered Resources,
Vietnam,ExxonMobil,"Block 118, VN","Ca Voi Xanh (Blue Whale), VN",2038,,Uncertain,Production,
Vietnam,ExxonMobil,"Block 118, VN","Block 118, VN",2057,,Commercial,Original Gas In Place,0
Vietnam,ExxonMobil,"Block 118, VN","Block 118, VN",2057,,Commercial,Field recovery factor,
Vietnam,ExxonMobil,"Block 118, VN","Block 118, VN",2057,,Commercial,Technical recoverable resources,0.2133
Vietnam,ExxonMobil,"Block 118, VN","Block 118, VN",2057,,Commercial,2P Reserves,
